City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Tasiilaq,GL,65.6145,-37.6368,14.16,57,100,7.67,overcast clouds
140,Thompson,CA,55.7435,-97.8558,-16.44,63,40,8.05,scattered clouds
141,Hami,CN,42.8,93.45,24.64,34,69,4.16,broken clouds
142,Khatanga,RU,71.9667,102.5,-33.59,100,35,2.91,scattered clouds
143,Ayan,RU,56.45,138.1667,-3.03,72,100,14.5,overcast clouds
144,Lazaro Cardenas,MX,17.9583,-102.2,81.84,53,0,8.84,clear sky
145,Ulaangom,MN,49.9811,92.0667,-22.09,85,37,3.31,scattered clouds
146,Te Anau,NZ,-45.4167,167.7167,47.23,97,100,4.56,heavy intensity rain
147,Seymchan,RU,62.8833,152.4333,-16.13,93,100,4.14,overcast clouds
148,East London,ZA,-33.0153,27.9116,68.94,94,40,6.91,scattered clouds
149,Elko,US,41.0002,-115.5012,30.06,49,34,3.58,scattered clouds
150,Nicoya,CR,10.1483,-85.452,89.15,28,0,2.17,clear sky
151,Canguaretama,BR,-6.38,-35.1289,88.29,60,14,14.65,few clouds
152,Wucheng,CN,29.6008,118.175,37.17,96,100,2.44,overcast clouds
153,Mecca,SA,21.4267,39.8261,74.52,78,76,3.53,broken clouds
154,Bethel,US,41.3712,-73.414,44.17,100,100,2.13,light rain
155,Kodiak,US,57.79,-152.4072,38.71,93,100,19.57,light rain
156,Neyshabur,IR,36.2133,58.7958,41.81,39,59,0.25,broken clouds
157,Cidreira,BR,-30.1811,-50.2056,80.4,75,66,17.56,broken clouds
158,Anadyr,RU,64.75,177.4833,12.7,62,100,35.79,overcast clouds
159,Vuktyl,RU,63.8567,57.3094,17.17,96,100,5.01,overcast clouds
160,Yuzhnyy,RU,53.2542,83.6936,10.78,85,0,6.71,clear sky
161,Mutuipe,BR,-13.2286,-39.5047,84.74,55,100,8.97,overcast clouds
162,Olafsvik,IS,64.8945,-23.7142,25.34,69,96,16.51,overcast clouds
163,Husavik,IS,66.0449,-17.3389,17.51,92,100,21.12,light snow
164,Provideniya,RU,64.3833,-173.3,1.27,66,94,22.79,overcast clouds
165,Waipawa,NZ,-41.4122,175.5153,66.83,70,20,7.23,few clouds
166,Valparaiso,CL,-33.0393,-71.6273,71.24,63,40,13.8,scattered clouds
167,Raga,SS,8.4596,25.678,80.17,20,60,4.41,broken clouds
168,Araouane,ML,18.9048,-3.5265,71.91,9,0,9.48,clear sky
169,Bonthe,SL,7.5264,-12.505,80.44,74,0,11.18,clear sky
170,Praxedis Guerrero,MX,31.3667,-106.0167,31.28,59,96,10.58,overcast clouds
171,Goderich,CA,43.7501,-81.7165,19.9,67,100,14.97,overcast clouds
172,New Norfolk,AU,-42.7826,147.0587,47.71,73,14,2.62,few clouds
173,Galle,LK,6.0367,80.217,74.68,82,0,4.27,clear sky
174,Port Augusta,AU,-32.5,137.7667,60.94,58,0,7.05,clear sky
175,Port Elizabeth,ZA,-33.918,25.5701,68.29,77,20,16.11,few clouds
176,Plavinas,LV,56.6178,25.7255,18.0,99,80,2.01,broken clouds
177,Aklavik,CA,68.2191,-135.0107,-18.4,69,75,3.44,broken clouds
178,Abu Samrah,SY,35.3029,37.1841,49.64,64,81,3.51,broken clouds
179,Saldanha,ZA,-33.0117,17.9442,68.05,82,24,10.67,few clouds
180,Man,CI,7.4125,-7.5538,76.86,16,0,2.53,clear sky
