City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
545,Coahuayana,MX,86.02,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
556,Canutama,BR,81.52,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
558,Tecoanapa,MX,81.12,clear sky,16.5167,-98.75,Hotel Manglares
564,Denpasar,ID,80.26,heavy intensity rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
568,Jaciara,BR,84.56,scattered clouds,-15.9653,-54.9683,Taba Hotel
571,Tual,ID,82.15,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
572,Phangnga,TH,77.04,scattered clouds,8.4509,98.5298,Sunimit Mansion
575,Ca Mau,VN,76.82,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
580,Tarakan,ID,78.3,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
581,Carutapera,BR,79.61,overcast clouds,-1.195,-46.02,Lidera
582,Rocha,UY,79.57,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
587,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
590,Tomatlan,MX,85.69,few clouds,19.9333,-105.25,El Salvial
591,Gulu,UG,78.58,overcast clouds,2.7746,32.299,ACHOLI INN
595,Tabou,CI,80.91,clear sky,4.423,-7.3528,hotêl doufoulougou
596,Salinopolis,BR,82.99,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
599,Santa Maria,BR,81.7,thunderstorm,-29.6842,-53.8069,Hotel Morotin
610,Moerai,PF,78.84,few clouds,-22.4333,-151.3333,Le Manotel
613,Trairi,BR,83.75,overcast clouds,-3.2778,-39.2689,janelas do mar
619,San Juan,AR,89.8,clear sky,-31.5375,-68.5364,Hotel Provincial
626,Sinnamary,GF,78.8,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
627,Ipixuna,BR,78.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
635,Manggar,ID,77.9,scattered clouds,-2.8833,108.2667,Guest Hotel
636,Kankan,GN,80.67,clear sky,10.3854,-9.3057,Hotel Bate
637,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
640,Quatre Cocos,MU,80.71,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
642,Boffa,GN,82.51,clear sky,10.1667,-14.0333,Hôtel Niara Belly
644,Necochea,AR,78.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
647,Kisangani,CD,78.69,overcast clouds,0.5167,25.2,Grand Ramela Hotel
653,Key West,US,84.2,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
656,Fare,PF,80.62,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
660,Barbosa Ferraz,BR,88.09,broken clouds,-24.03,-52.0117,Edicula Sanches
666,Porto Velho,BR,84.25,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
682,Abeokuta,NG,83.75,scattered clouds,7.15,3.35,Park Inn by Radisson
686,Sandakan,MY,80.28,few clouds,5.8402,118.1179,Hotel Sandakan
690,Mitsamiouli,KM,82.69,light rain,-11.3847,43.2844,Foyer ADM
698,Trincomalee,LK,77.31,clear sky,8.5711,81.2335,Welcombe Hotel
700,Sao Miguel Do Araguaia,BR,84.22,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
