City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Mnogovershinnyy,RU,2022-02-01 06:21:19,53.9353,139.9242,0.97,88,100,6.96
93,Nikolskoye,RU,2022-02-01 06:21:20,59.7035,30.7861,24.69,97,98,3.94
94,Moncton,CA,2022-02-01 06:21:20,46.1159,-64.8019,0.09,85,0,6.91
95,Touros,BR,2022-02-01 06:22:21,-5.1989,-35.4608,74.3,75,60,9.55
96,San Cristobal,VE,2022-02-01 06:22:21,7.7669,-72.225,63.97,89,90,2.35
97,Udachnyy,RU,2022-02-01 06:22:21,66.4167,112.4,-27.98,98,59,2.82
98,Nurota,UZ,2022-02-01 06:22:22,40.5614,65.6886,46.49,43,4,8.23
99,Tiznit,MA,2022-02-01 06:22:22,29.5833,-9.5,60.57,42,99,4.32
100,Najran,SA,2022-02-01 06:22:23,17.4924,44.1277,68.65,38,70,3.58
101,Pisco,PE,2022-02-01 06:19:21,-13.7,-76.2167,69.85,78,75,6.91
102,Chokurdakh,RU,2022-02-01 06:22:23,70.6333,147.9167,-17.81,97,100,2.59
103,Eldorado,BR,2022-02-01 06:22:24,-23.7869,-54.2836,71.08,78,82,3.78
104,Fortuna,US,2022-02-01 06:19:25,40.5982,-124.1573,46.65,83,40,1.99
105,Severo-Kurilsk,RU,2022-02-01 06:22:24,50.6789,156.125,28.17,76,100,12.95
106,Ilulissat,GL,2022-02-01 06:22:25,69.2167,-51.1,6.82,72,100,4.61
107,Le Port,RE,2022-02-01 06:22:25,-20.9373,55.2919,87.76,70,63,0.18
108,Tucumcari,US,2022-02-01 06:22:25,35.1717,-103.725,48.04,17,0,10.36
109,Dawson Creek,CA,2022-02-01 06:22:26,55.7666,-120.2362,-2.56,71,0,6.91
110,Cabo San Lucas,MX,2022-02-01 06:19:55,22.8909,-109.9124,68.5,64,0,8.08
111,Bressanone,IT,2022-02-01 06:22:26,46.715,11.656,38.16,84,100,4.47
112,Saskylakh,RU,2022-02-01 06:22:27,71.9167,114.0833,-27.35,100,80,1.74
113,Kavaratti,IN,2022-02-01 06:20:03,10.5669,72.642,80.82,67,6,4.61
114,Jamestown,US,2022-02-01 06:22:28,42.097,-79.2353,24.71,75,0,1.01
115,Bluff,NZ,2022-02-01 06:22:28,-46.6,168.3333,60.8,87,100,9.48
116,Voyvozh,RU,2022-02-01 06:19:13,62.892,54.9635,1.96,99,88,5.19
117,Nishihara,JP,2022-02-01 06:22:29,26.1842,127.7558,67.68,56,75,12.66
118,Kudahuvadhoo,MV,2022-02-01 06:22:29,2.6708,72.8944,82.26,78,27,13.67
119,Provideniya,RU,2022-02-01 06:22:30,64.3833,-173.3,4.42,73,94,22.39
